Salutation,First Name,Middle Name,Last Name,Organization,Title,Phone,Mobile Phone,Fax,Email,Website,Street,City,State,PostalCode,Country,Industry,Number of Employees,Rating,Lead Source,Status,Description,Responsible User,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag List
,,,koolcosmeticos - 15,koolcosmeticos - 15,,,,,,http://www.koolcosmeticos.com/pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Cosmetics // 1. Screening phase: Italian company  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Health/Beauty,,,,,,,
,,,goodlife - 16,goodlife - 16,,,,,,http://www.goodlife.com.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Deal of the day business // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Other,Deals,,,,,,,
,,,letsbonus - 17,letsbonus - 17,,,,,,http://pt.letsbonus.com/seleccao/lisboa,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: Deal of the day business // 1. Screening phase: Multinational  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Other,Deals,,,,,,,
,,,sapovoucher - 18,sapovoucher - 18,,,,,,http://voucher.sapo.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Deal of the day business // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Other,Deals,,,,,,,
,,,clubefashion - 19,clubefashion - 19,,,,,,http://www.clubefashion.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Fashion // 1. Screening phase: Owner of Hip Bazar (#459)  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Other,Deals,,,,,,,
,,,ericeirasurfshop - 20,ericeirasurfshop - 20,,,,,,http://ericeirasurfshop.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Fashion & sports // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,fillow - 21,fillow - 21,,,,,,http://www.fillow.com/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: Fashion & sports // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Apparel/Accessories,,,,,,,
,,,Girissima.com - 22,Girissima.com - 22,,,,,,http://www.girissima.com/en/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Fashion // 1. Screening phase: Advance to phase II Mng not commited/expert // Reference: 1st list // Final output: Meeting(s) // Meeting date: 27/2/2013,Gaspar d'Orey,ecommerce b2c,Transactional website,Apparel/Accessories,,,,,,,
,,,marca10 - 23,marca10 - 23,,,,,,http://www.marca10.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Fashion // 1. Screening phase: Not early stage not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Apparel/Accessories,,,,,,,
,,,porvocacao - 24,porvocacao - 24,,,,,,http://www.porvocacao.com/blog/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Fashion // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,rockartstore - 25,rockartstore - 25,,,,,,http://www.rockartstore.com/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Fashion // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,showroomprive - 26,showroomprive - 26,,,,,,http://www.showroomprive.pt/,-,-,-,-,France,ecommerce_b2c,,3,,Excluded,Brief description: Fashion // 1. Screening phase: Owned by French company  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Apparel/Accessories,,,,,,,
,,,brio - 27,brio - 27,,,,,,http://www.brio.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Natural products // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,celeiro - 28,celeiro - 28,,,,,,http://www.celeiro-dieta.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Natural products // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,Portugal ao Domicílio - 29,Portugal ao Domicílio - 29,,,,,,http://www.portugalaodomicilio.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,"Brief description: Portuguese products (""mercado da saudade"") // 1. Screening phase: Limited niche market  // Reference: 1st list // ",Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,gourmetglamour - 30,gourmetglamour - 30,,,,,,http://www.gourmetglamour.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gourmet products // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,igourmet - 31,igourmet - 31,,,,,,http://www.igourmet.com/,-,-,-,-,United States,ecommerce_b2c,,3,,Excluded,Brief description: Gourmet products // 1. Screening phase: US Company not early stage  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,Miss shop - 32,Miss shop - 32,,,,,,http://www.missshop.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Food retail // 1. Screening phase: Offline business  // Reference: 1st list // Final output: Meeting(s) // Meeting date: 22/1/2013,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,quintinha - 33,quintinha - 33,,,,,,http://www.quintinha.com/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Gourmet products // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,supermercadoportugal - 34,supermercadoportugal - 34,,,,,,http://www.supermercadoportugal.com/portal/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gourmet products // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,augustagourmet - 35,augustagourmet - 35,,,,,,http://www.augustagourmet.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gourmet products // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,Boca do Lobo - 36,Boca do Lobo - 36,,,,,,http://www.bocadolobo.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Furniture // 1. Screening phase: Difficult segment low contribution from SON  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,Forma Fantasia - 37,Forma Fantasia - 37,,,,,,http://www.formafantasia.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Furniture // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,Home Glam - 38,Home Glam - 38,,,,,,http://www.homeglam.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Furniture // 1. Screening phase: Not distinctive ecommerce  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,Invert Shop - 39,Invert Shop - 39,,,,,,http://www.invertshop.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Furniture // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,ingeniu - 40,ingeniu - 40,,,,,,http://www.ingeniu.com/ecommerce/control/main,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gadgets // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,Insania - 41,Insania - 41,,,,,,http://www.insania.com/?utm_source=insania.pt&utm_medium=dominios&utm_campaign=dominos,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gadgets // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,loja007 - 42,loja007 - 42,,,,,,http://www.loja007.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gadgets // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,Presente Ideal - 43,Presente Ideal - 43,,,,,,http://www.shopmania.pt/site/presente-ideal.com,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Other // 1. Screening phase: Not ecommerce  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Mass merchant,,,,,,,
,,,mysweets4u - 44,mysweets4u - 44,,,,,,http://www.mysweets4u.com/pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gifts // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Flowers/Gifts,,,,,,,
,,,netprendas - 45,netprendas - 45,,,,,,http://www.netprendas.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Gifts // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Flowers/Gifts,,,,,,,
,,,Bimago - 46,Bimago - 46,,,,,,http://www.bimago.pt/sales-terms/impressum,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Home decor // 1. Screening phase: Owned by multinational  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,Loja das Jóias - 47,Loja das Jóias - 47,,,,,,https://www.facebook.com/LojadasJoias,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: jewelry // 1. Screening phase: No information  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Site unavailable,,,,,,,,
,,,Luxo 24 - 48,Luxo 24 - 48,,,,,,http://www.luxo24.com/,-,-,-,-,Germany,ecommerce_b2c,,3,,Excluded,Brief description: jewelry // 1. Screening phase: Owned by German company  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Jewelry,,,,,,,
,,,academiadosono - 49,academiadosono - 49,,,,,,http://www.academiadosono.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,befara - 50,befara - 50,,,,,,http://www.befara.pt/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Owned by multinational  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,colchaonet - 51,colchaonet - 51,,,,,,http://www.colchaonet.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Should be mainly offline  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,colchoesbaratos - 52,colchoesbaratos - 52,,,,,,http://colchoesbaratos.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,colchoesecompanhia - 53,colchoesecompanhia - 53,,,,,,http://www.colchoesecompanhia.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Owned by heirs not early stage  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,maxcolchon - 54,maxcolchon - 54,,,,,,http://www.maxcolchon.com/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Spanish company  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,mundodosono - 55,mundodosono - 55,,,,,,http://mundodosono.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,Ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,noctalia - 56,noctalia - 56,,,,,,http://www.noctalia.com/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Owned by multinational  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,policolchoes - 57,policolchoes - 57,,,,,,http://www.policolchoes.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Owned by mainly offline business  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,senso-g - 58,senso-g - 58,,,,,,http://sensog.com/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: mattresses // 1. Screening phase: Owned by SPA offline business  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,manutan - 59,manutan - 59,,,,,,http://www.manutan.pt/,-,-,-,-,France,ecommerce_b2c,,3,,Excluded,Brief description: Office supplies // 1. Screening phase: Owned by multinational  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Office supplies,,,,,,,
,,,officeday - 60,officeday - 60,,,,,,http://www.officeday.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Office supplies // 1. Screening phase: Official distributor for Office Depot (B2B)  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Office supplies,,,,,,,
,,,PME Link - 61,PME Link - 61,,,,,,http://www.pmelink.pt/info/whoAreWe.do,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Office supplies // 1. Screening phase: B2B owned by large corporates and PE  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Office supplies,,,,,,,
,,,superofi - 62,superofi - 62,,,,,,http://www.superofi.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Office supplies // 1. Screening phase: No reply  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Office supplies,,,,,,,
,,,e-corypharma - 63,e-corypharma - 63,,,,,,http://e-corypharma.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: OTC drugs // 1. Screening phase: Not distinctive ecommerce  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,enetural - 64,enetural - 64,,,,,,http://www.enetural.com/pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: OTC drugs // 1. Screening phase: Already analysed by SON expert team no go  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,farmais - 65,farmais - 65,,,,,,http://farmais.net/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: OTC drugs // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,prozis.com / Onsalesit - 66,prozis.com / Onsalesit - 66,,,,,,http://www.prozis.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Sports nutrition // 1. Screening phase: Advance to phase II Mng not interested // Reference: 1st list // Final output: Pitch to SON business // Meeting date: 27/3/2013,Gaspar d'Orey,ecommerce b2c,Transactional website,Food/Drug,,,,,,,
,,,sugartrends - 67,sugartrends - 67,,,,,,http://www.sugartrends.com/,-,-,-,-,Germany,ecommerce_b2c,,3,,Excluded,Brief description: Luxury // 1. Screening phase: German company  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,odisseias - 68,odisseias - 68,,,,,,http://www.odisseias.com/viagens/lisboa,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Travel // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,planetnatural - 69,planetnatural - 69,,,,,,http://www.planetnatural.com/,-,-,-,-,United States,ecommerce_b2c,,3,,Excluded,Brief description: Other // 1. Screening phase: US Company  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Housewares/Home furnishings,,,,,,,
,,,Setdi - 70,Setdi - 70,,,,,,http://www.setdi.pt/setdi/PortalRender.aspx?PageID=%7bc384ae8c-ef77-4046-9367-49b78b794922%7d,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Other // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,Assine ja - 71,Assine ja - 71,,,,,,http://www.assineja.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Other // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,Bewarket - 72,Bewarket - 72,,,,,,http://www.bewarket.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Other // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Other,,,,,,,
,,,go2oporto - 73,go2oporto - 73,,,,,,http://www.go2oporto.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Hotel booking // 1. Screening phase: Local business in globally dominated market  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Other,,,,,,,
,,,Clic Clac - 74,Clic Clac - 74,,,,,,http://www.cliclachop.com/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Other // 1. Screening phase: No information  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Site unavailable,,,,,,,,
,,,logitravel - 75,logitravel - 75,,,,,,http://www.logitravel.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Travel // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,aescada - 76,aescada - 76,,,,,,http://www.aescada.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Perfumes & Cosmetics // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Health/Beauty,,,,,,,
,,,droper - 77,droper - 77,,,,,,http://www.droper.pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Perfumes & Cosmetics // 1. Screening phase: Financial distress  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,perfumaria-online - 78,perfumaria-online - 78,,,,,,http://www.perfumaria-online.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Perfumes & Cosmetics // 1. Screening phase: Not early stage  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Health/Beauty,,,,,,,
,,,perfumesecompanhia - 79,perfumesecompanhia - 79,,,,,,http://www.perfumesecompanhia.pt/pt/,-,-,-,-,Portugal,Out_of_scope,,3,,Excluded,Brief description: Perfumes & Cosmetics // 1. Screening phase: Offline business  // Reference: 1st list // ,Gaspar d'Orey,Out of scope,Product/services,,,,,,,,
,,,Sweet Care - 80,Sweet Care - 80,,,,,,http://www.sweetcare.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Perfumes & Cosmetics // 1. Screening phase: No interest from entrepreneur  // Reference: 1st list // Final output: Meeting(s) // Meeting date: 13/2/2014,Gaspar d'Orey,ecommerce b2c,Transactional website,Health/Beauty,,,,,,,
,,,horadefesta - 81,horadefesta - 81,,,,,,http://www.horadefesta.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Party and fun // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,Mascarilha - 82,Mascarilha - 82,,,,,,http://www.mascarilha.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Party and fun // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,misterius - 83,misterius - 83,,,,,,http://www.misterius.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Party and fun // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Toys/hobbies,,,,,,,
,,,girafaonline - 84,girafaonline - 84,,,,,,http://www.girafaonline.com/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Pets // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Specialty/non-apparel,,,,,,,
,,,Goldpet - 85,Goldpet - 85,,,,,,http://www.goldpet.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Pets // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Specialty/non-apparel,,,,,,,
,,,lojadosanimais - 86,lojadosanimais - 86,,,,,,http://www.lojadosanimais.net/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Pets // 1. Screening phase: Not distinctive  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Specialty/non-apparel,,,,,,,
,,,mypetshop - 87,mypetshop - 87,,,,,,http://www.pet-shop.pt/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Pets // 1. Screening phase: Low system score  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Specialty/non-apparel,,,,,,,
,,,nutripienso - 88,nutripienso - 88,,,,,,http://www.nutripienso.com/pt/,-,-,-,-,Spain,ecommerce_b2c,,3,,Excluded,Brief description: Pets // 1. Screening phase: Spanish company not early stage  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Specialty/non-apparel,,,,,,,
,,,Pet4you - 89,Pet4you - 89,,,,,,http://www.pet4you.net/,-,-,-,-,Portugal,ecommerce_b2c,,3,,Excluded,Brief description: Pets // 1. Screening phase: Not early stage  // Reference: 1st list // ,Gaspar d'Orey,ecommerce b2c,Transactional website,Specialty/non-apparel,,,,,,,
